V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
R_u35Xg07GlezNHeF,Default Response Set,Anonymous,,,90.94.219.244,0,2019-05-01 12:16:19,2019-05-01 12:20:21,0,1,1,,,,,,,,,,,,,,,,,,,,,Segundo,Primero,,,,,,,,,,,Lo determina la explosividad del sonido ,Sí,Sí,18,masculino,diestro/a,Español,Ninguno,Sí,No,No,Ocasionalmente,Nunca,,,,-1,
R_0HdrrfVzZM232PT,Default Response Set,Anonymous,,,95.62.37.121,0,2019-05-01 11:13:04,2019-05-01 11:15:02,0,1,1,,,,,,,,,,,,,,,Segundo,Segundo,,,,,,,,,,,,,,,,,la intensidad del sonido de los audios.,Sí,No,30,femenino,diestro/a,Español,Ninguno,No,No,No,Ocasionalmente,Nunca,,,,-1,
R_vUn45VzQjZLxpF7,Default Response Set,Anonymous,,,188.77.62.248,0,2019-05-01 11:01:11,2019-05-01 11:03:00,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,,,Los graves y la lentitud del sonido.,Sí,No,29,femenino,diestro/a,Castellano,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_XZJoS8BIn1UPbDX,Default Response Set,Anonymous,,,83.165.49.43,0,2019-05-01 10:34:46,2019-05-01 10:36:36,0,1,1,,,,,,,,,,,Primero,Primero,,,,,,,,,,,,,,,,,,,,,El volumen o la intensidad del sonido,Sí,No,42,masculino,diestro/a,Español,Ninguno,No,No,No,Ocasionalmente,Nunca,,,,-1,
R_2fjTh434QjHtAoo,Default Response Set,Anonymous,,,213.37.150.123,0,2019-05-01 10:19:38,2019-05-01 10:25:00,0,1,1,,,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,,,,,,,los sonidos se escuchaban claramente y es por eso que los logre concretar con facilidad,Sí,Sí,32,masculino,zurdo/a,español,Ninguno,Quizás,No,No,Nunca,Nunca,,,,-1,
R_3RaLibCNbXSoBTn,Default Response Set,Anonymous,,,37.35.212.171,0,2019-05-01 10:04:06,2019-05-01 10:07:05,0,1,1,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,,,"Creo que el sonido que me parece más blando en los dos casos es el que alcanza menos intensidad, menos decibelios, el que resulta menos molesto escuchado a través de los auriculares.",Sí,Sí,32,masculino,diestro/a,Español,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_1UsbsZtcdbysigp,Default Response Set,Anonymous,,,88.24.48.68,0,2019-05-01 10:03:44,2019-05-01 10:05:37,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,Gravedad del sonido,Sí,No,25,masculino,diestro/a,Español,Ninguno,No,No,Sí,Nunca,Nunca,,,,-1,
R_2rhVvwS1buJztA0,Default Response Set,Anonymous,,,90.77.138.189,0,2019-05-01 10:16:05,2019-05-01 10:18:48,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Primero,"Creo que el primero siempre es un ruido mas mecanico, mientras el segundo suena mas a humano. No obstante me he guiado por la dureza del sonido obviando ese aspecto.",Sí,No,44,masculino,diestro/a,Español,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_1erdLwwv71quxBa,Default Response Set,Anonymous,,,85.155.211.187,0,2019-05-01 09:05:54,2019-05-01 09:10:16,0,1,1,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,,,,,,,,,el sonido que sigue después del primer impacto sonoro fue lo que me hizo tomar esas elecciones ,Sí,Sí,24,masculino,diestro/a,Español,Ninguno,No,Sí,No,Muy pocas veces,Nunca,,,,-1,
R_2Yh4as3tMPSBVRV,Default Response Set,Anonymous,,,46.6.252.139,0,2019-05-01 07:51:50,2019-05-01 07:57:34,0,1,1,,,,,,,,,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,"Uno de ellos me recordaba a un disparo...  Ese sería el sonido ""duro"". No me hacía sentir bien. ",Sí,Sí,40,femenino,diestro/a,Español ,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_9FgyOhaE8PmUaB3,Default Response Set,Anonymous,,,79.147.55.20,0,2019-05-01 07:41:03,2019-05-01 07:48:06,0,1,1,,,,,,,,,,,,,,,,,,,,,,,Segundo,Primero,,,,,,,,,"El sonido 'duro' era hecho como con la boca cerrada mientras que el 'blando' era más vocal, con la 'a'.",Sí,Sí,42,masculino,diestro/a,Catalan y Castellano,Ninguno,No,No,No,Muy pocas veces,Nunca,,,,-1,
R_uhbPmvPds1KYsvf,Default Response Set,Anonymous,,,80.174.13.63,0,2019-05-01 07:32:51,2019-05-01 07:35:38,0,1,1,,,,,,,,,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,HARD WOMAN,Sí,Sí,45,femenino,diestro/a,SPANISH,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_21iWaud9OLgMtU2,Default Response Set,Anonymous,,,95.39.180.18,0,2019-05-01 07:20:10,2019-05-01 07:22:56,0,1,1,Segundo,Segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El primer sonido me recordaba más a una especie de estallido, el segundo me parecía sentirlo más ""amortiguado"", menos ""punzante"" al oído que el primero. Encuentro bastante difícil encontrar adjetivos precisos para describir la sensación subjetiva.",Sí,No,42,masculino,diestro/a,Español,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_1rw47ECeSRjjyJb,Default Response Set,Anonymous,,,31.221.240.212,0,2019-05-02 07:55:20,2019-05-02 07:57:27,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,Ni idea,Sí,Sí,40,masculino,diestro/a,Español,Ninguno,Quizás,No,No,Ocasionalmente,Nunca,1,41.398406982422,2.1741027832031,-1,
R_23TB9KGEHyM4a2T,Default Response Set,Anonymous,,,84.120.156.33,0,2019-05-03 04:05:10,2019-05-03 04:08:06,1,1,1,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ha influido en mis respuestas el volumen de los audios, un audio con un volumen más bajo sería un sonido ""blando"".",Sí,No,19,masculino,diestro/a,Castellano,Ninguno,Sí,No,No,Muy pocas veces,Nunca,1,39.569396972656,2.6502075195312,-1,
R_Zqlf6OEKpd5qy2Z,Default Response Set,Anonymous,,,190.33.71.239,0,2019-05-03 10:48:11,2019-05-03 10:50:59,1,1,1,,,,,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,,,,,very good audio to write,Sí,No,33,masculino,diestro/a,english,Ninguno,Sí,No,Sí,Ocasionalmente,Nunca,1,8.9947967529297,-79.523002624512,-1,
R_ULVOA3KqoZJ8zRf,Default Response Set,Anonymous,,,79.67.153.130,0,2019-05-02 09:21:28,2019-05-02 09:23:08,0,1,1,,,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,simplemente por la primera impresión,Sí,No,37,masculino,diestro/a,español,Ninguno,Sí,Quizás,No,Nunca,Nunca,,,,-1,
R_1DNDDxL8QDI1jeu,Default Response Set,Anonymous,,,81.0.17.72,0,2019-05-02 11:18:05,2019-05-02 11:22:51,0,1,1,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,He seleccionado en ambos casos los sonidos que me han parecido mas suaves o menos agudos.,Sí,Sí,33,masculino,zurdo/a,Español,Ninguno,No,No,Sí,Nunca,Nunca,,,,-1,
R_3phEP3PZiyaXGrK,Default Response Set,Anonymous,,,82.102.17.205,0,2019-05-02 14:16:55,2019-05-02 14:20:47,0,1,1,,,,,,,,,,,,,,,,,,,,,Primero,Segundo,,,,,,,,,,,No,No,Sí,21,masculino,diestro/a,Espagnole anglais français ,Ninguno,Quizás,No,Sí,Nunca,Nunca,,,,-1,
R_1BUHaseczAAsXIJ,Default Response Set,Anonymous,,,5.35.222.31,0,2019-05-02 14:44:15,2019-05-02 14:49:06,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,,,"He seleccionado uno en concreto porque realmente lo escuchaba más fuerte y creo que también porque he detectado como si el sonido se hubiera hecho con más furia o rabia, me ha sonado como un animal rugiendo.",Sí,No,20,femenino,diestro/a,Español y árabe,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_2wS0hgIjy8jkjpM,Default Response Set,Anonymous,,,37.11.229.252,0,2019-05-02 14:50:26,2019-05-02 14:55:18,0,1,1,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,,,,,,,,, He interpretado blando o duro como agresivo o más suave y como yo lo he percibido en cuanto a tono. En base a eso he seleccionado lo que me parecía más apropiado,Sí,Sí,44,masculino,diestro/a,Español,Ninguno,Sí,No,Sí,Ocasionalmente,Nunca,,,,-1,
R_3lEo2pbSBa8jOo5,Default Response Set,Anonymous,,,37.135.180.41,0,2019-05-02 15:24:24,2019-05-02 15:26:52,0,1,1,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Porque uno era velar y oclusivo, el otro era más relajado.",Sí,No,20,femenino,diestro/a,Español y Catalán,Ninguno,Sí,No,Sí,Nunca,Nunca,,,,-1,
R_R9OuCyvy2YWwYwh,Default Response Set,Anonymous,,,190.124.28.155,0,2019-05-02 16:33:53,2019-05-02 16:54:58,0,1,1,,,,,,,,,,,,,,,,,Primero,Primero,,,,,,,,,,,,,,,always select the number 1 because the sumbido was stronger than the number 2 / ,Sí,Sí,25,masculino,diestro/a,English,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_1qdLmPNIs9yvW6O,Default Response Set,Anonymous,,,116.220.24.38,0,2019-05-02 18:03:04,2019-05-02 18:04:37,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Segundo,,,,,Quizás mi decisión se haya basado en cual de los dos audios era de sonido más grave,Sí,No,23,masculino,diestro/a,Español,Intermedio,Sí,Sí,Quizás,Ocasionalmente,Visitas cortas,,,,-1,
R_31HG54Kkk4rx1Sb,Default Response Set,Anonymous,,,206.123.154.161,0,2019-05-03 03:03:19,2019-05-03 03:06:54,0,1,1,,,,,,,,,,,,,Segundo,Primero,,,,,,,,,,,,,,,,,,,"para que la percepción sea de ""más blando"", el ruido de la respiración es clave. Mientras más respiración, más suave, por lo menos para mí",Sí,No,32,femenino,diestro/a,castellano,Ninguno,Quizás,No,No,Ocasionalmente,Nunca,,,,-1,
R_2uU32AyHVnlxADG,Default Response Set,Anonymous,,,158.109.31.4,0,2019-05-03 05:46:47,2019-05-03 05:49:03,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primero,Primero,"Creo que el orden en que se presentaron influyo mucho, por que al no saber que esperar me tomo de sopresa el primer sonido y eso lo asocie con dureza",Sí,Sí,21,femenino,diestro/a,Español,Ninguno,Sí,Sí,Sí,Muy pocas veces,Estancias inferiores a 5 años,,,,-1,
R_2QPVdVFt42jX8jH,Default Response Set,Anonymous,,,87.222.0.224,0,2019-05-03 07:34:47,2019-05-03 07:36:40,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Segundo,Primero,,,,,,,La tonalidad mas grave,Sí,Sí,33,masculino,diestro/a,español,Ninguno,No,No,No,Regularmente,Nunca,,,,-1,
R_2e5bwxO4X8SfxMk,Default Response Set,Anonymous,,,47.63.178.215,0,2019-05-03 09:04:27,2019-05-03 09:04:37,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_4GjULCorPwOtrz3,Default Response Set,Anonymous,,,139.47.107.125,0,2019-05-03 09:20:25,2019-05-03 09:22:14,0,1,1,,,,,,,,,,,,,,,,,Primero,Segundo,,,,,,,,,,,,,,,La agresividad del que produce el sonido,Sí,No,23,masculino,diestro/a,Español,Ninguno,No,No,No,Nunca,Nunca,,,,-1,
R_2QVOTm9riHZC4s2,Default Response Set,Anonymous,,,80.26.180.47,0,2019-05-03 14:27:05,2019-05-03 14:30:15,0,1,1,,,,,,,Primero,Primero,,,,,,,,,,,,,,,,,,,,,,,,,Los sonidos duros suenan mas agresivos porque parece que lo hacen mas rapido y usan consonantes fuertes,Sí,No,31,femenino,diestro/a,Español,Ninguno,No,No,Sí,Nunca,Visitas cortas,,,,-1,
