V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
R_eKWFAxeynFOZLAl,Default Response Set,Anonymous,,,109.192.183.193,0,2019-05-01 04:58:58,2019-05-01 05:02:58,0,1,1,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,i thought the second shot of the 2nd batch was softer to my ears as it lingered on as opposed to the first one that ended immediately.,Ja,Ja,40,weiblich,rechtshändig,english,Nein,Vielleicht,Nein,Nein,Niemals,Niemals,,,,-1,
R_R3T41K0G5k2OFPj,Default Response Set,Anonymous,,,2.207.38.242,0,2019-05-01 05:00:49,2019-05-01 05:04:13,0,1,1,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,Habe nur jeweils eine Aufnahme richtig hören können,Nein,Nein,25,weiblich,rechtshändig,deutsch,Nein,Ja,Ja,Vielleicht,Selten,Niemals,,,,-1,
R_ULq7Xpg2x3ukAMh,Default Response Set,Anonymous,,,95.91.214.206,0,2019-05-01 03:41:18,2019-05-01 03:43:38,0,1,1,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,"Ich denke die endung in ""achh"" ist härter als ""u/echh""",Ja,Nein,30,männlich,rechtshändig,"Türkisch, Deutsch",Nein,Ja,Nein,Nein,Manchmal,Niemals,,,,-1,
R_3PLVNivuiCqIf3A,Default Response Set,Anonymous,,,109.91.33.53,0,2019-05-01 03:15:28,2019-05-01 03:17:17,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,Ob ein Vokal dabei war oder eher 'ch' ,Ja,Nein,35,weiblich,rechtshändig,Deutsch,Nein,Vielleicht,Nein,Nein,Niemals,Niemals,,,,-1,
R_1rxN1mwxNtZIlWp,Default Response Set,Anonymous,,,95.91.49.83,0,2019-05-01 04:32:50,2019-05-01 04:35:32,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,"ich hatte den eindruck, dass die jeweils zweite aufnahme plötzlicher und lauter begann was einen härteren eindruck hinterließ",Ja,Nein,33,männlich,linkshändig,deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,,,,-1,
R_sSbJ8rqxNkR9LTb,Default Response Set,Anonymous,,,134.96.49.6,0,2019-05-01 04:27:31,2019-05-01 04:32:54,0,1,1,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,"Was meine Entscheidung beeinflusst hat war, wie laut der Ton war.",Ja,Ja,26,weiblich,linkshändig,Portugiesisch,Nein,Vielleicht,Nein,Vielleicht,Niemals,Niemals,,,,-1,
R_22QcJKT3k0RPzz5,Default Response Set,Anonymous,,,87.174.78.204,0,2019-05-01 03:12:02,2019-05-01 03:14:28,0,1,1,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,Ich habe nichts besonderes an den Geräuschen bemerkt.,Ja,Ja,27,männlich,rechtshändig,Deutsch,Nein,Vielleicht,Nein,Nein,Selten,Niemals,,,,-1,
R_3CWpetB5yjTbIX5,Default Response Set,Anonymous,,,87.78.198.76,0,2019-05-01 02:51:55,2019-05-01 02:54:24,0,1,1,,,,,,,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,Weil bei der einem Aufnahme am Ende ein ahhh war und bei der anderen ein kzzz,Ja,Nein,21,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,,,,-1,
R_3kM70yCUcqrAzxe,Default Response Set,Anonymous,,,185.90.171.22,0,2019-05-02 11:24:13,2019-05-02 11:30:17,1,1,1,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schwierige Auswahl, ich hatte eher ein Sprachbeispiel als ein geräusch erwartet. Ich denke ein geräusch hatte einen sanfteren Anklang.",Ja,Ja,50,männlich,linkshändig,Deutsch,Nein,Ja,Nein,Ja,Weiss nicht,Niemals,1,33.873992919922,35.508895874023,-1,
R_3ferR0e9TaWhBEW,Default Response Set,Anonymous,,,88.152.11.7,0,2019-05-02 07:50:46,2019-05-02 07:53:33,0,1,1,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,"Ich fande beim ersten die erste und beim zweiten die zweite Aufnahme irgendwie ""schärfer""",Ja,Nein,19,männlich,rechtshändig,Deutsch,Nein,Ja,Ja,Ja,Niemals,Niemals,,,,-1,
R_W0NIc5SL4nbge5z,Default Response Set,Anonymous,,,91.14.11.76,0,2019-05-02 08:59:59,2019-05-02 09:02:08,0,1,1,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,Auswahl 1 klang jeweils bedrohlicher,Ja,Nein,41,männlich,rechtshändig,deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_1LiiAn03bNPyQoF,Default Response Set,Anonymous,,,88.130.61.194,0,2019-05-02 10:26:47,2019-05-02 10:27:33,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,-1,
R_1JRXeHJBbfTO0JB,Default Response Set,Anonymous,,,95.33.66.253,0,2019-05-02 11:00:29,2019-05-02 11:04:27,0,1,1,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,Die Stimme und die Aussprache der Beispiele haben mich beeinflusst. Des Weiteren hat mich die Lautstärke der Aufnahme beeinflusst.,Ja,Ja,19,weiblich,rechtshändig,Deutsch,Nein,Ja,Ja,Nein,Niemals,Niemals,,,,-1,
R_29oxwpdAUBROw12,Default Response Set,Anonymous,,,95.91.215.65,0,2019-05-02 11:43:14,2019-05-02 11:46:07,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,"Tiefer, abgehackter klingt für mich härter. Weniger Varianz, sanfte Übergänge klingt für mich weicher.",Ja,Nein,33,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Ja,Niemals,Niemals,,,,-1,
R_UDE7wEtd5TRkBdn,Default Response Set,Anonymous,,,79.194.200.226,0,2019-05-02 12:50:01,2019-05-02 12:52:29,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,"Vielleicht hat das Zischen meine Auswahl beeinflusst, bzw. wie ausgeprägt der harte ""ch""-Laut war",Ja,Ja,22,weiblich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_cYlvFNK50pWmIGR,Default Response Set,Anonymous,,,77.21.254.96,0,2019-05-02 13:04:16,2019-05-02 13:06:58,0,1,1,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,Die Geräusche begannen nicht so abrupt und klangen mehr aus.,Ja,Nein,46,männlich,rechtshändig,deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_2aJ0lyqOdzmw6HL,Default Response Set,Anonymous,,,95.90.222.183,0,2019-05-02 15:48:33,2019-05-02 15:51:27,0,1,1,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,Mein Gehör und Empfinden. Eine der Aufnahmen klang kratziger.,Ja,Nein,29,männlich,rechtshändig,"Deutsch, Polnisch",Nein,Ja,Nein,Nein,Selten,Niemals,,,,-1,
R_2wBKiNeIG8xIpqp,Default Response Set,Anonymous,,,37.201.7.175,0,2019-05-03 06:32:55,2019-05-03 06:37:16,0,1,1,,,,,,,,,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,Gefühl,Ja,Nein,43,männlich,rechtshändig,"deutsch, russisch",Nein,Vielleicht,Nein,Nein,Niemals,Niemals,,,,-1,
R_PvAW8UcYicD6asN,Default Response Set,Anonymous,,,91.8.208.251,0,2019-05-03 09:47:15,2019-05-03 09:50:28,0,1,1,,,,,,,,,,,,,Zweite Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,Ich denke die härteren Geräusche kamen vermutlich mehr aus dem Rachen. Die weicheren wurden stärker mit der Zunge gebildet.,Ja,Nein,18,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_PA7LS21rwzVNGvf,Default Response Set,Anonymous,,,62.216.203.33,0,2019-05-03 10:39:17,2019-05-03 10:40:53,0,1,1,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,"ähm....naja, ich denke es liegt an dem klang",Ja,Nein,22,männlich,rechtshändig,deutsch,Nein,Nein,Nein,Nein,Manchmal,Niemals,,,,-1,
R_1JW13uZhF9ATkSy,Default Response Set,Anonymous,,,93.211.102.52,0,2019-05-03 15:39:30,2019-05-03 15:43:41,0,1,1,,,,,,,,,,,,,,,,,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,Der harte Part innerhalb der Aufnahme war vielleicht deutlicher hervorgehoben. Eine genaue Einschätzung kann ich nicht geben,Ja,Nein,20,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_3nUBorzsJSoSUE8,Default Response Set,Anonymous,,,84.174.35.156,0,2019-05-04 08:04:20,2019-05-04 08:07:35,0,1,1,Erste Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Für mich waren die Geräusche, die sich beim hören als ""unangenehmer"" angefühlt haben die härteren.",Ja,Nein,21,männlich,rechtshändig,Deutsch,Nein,Nein,Nein,Nein,Niemals,Niemals,,,,-1,
R_1pPZcPrIiXJ400g,Default Response Set,Anonymous,,,217.94.247.4,0,2019-05-04 11:21:37,2019-05-04 11:24:00,0,1,1,,,,,Zweite Aufnahme,Zweite Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,,,"Einer klang roboterhaft, einer klang zu hart, die anderen beiden waren gut",Ja,Nein,41,männlich,rechtshändig,Englisch,Nein,Ja,Ja,Ja,Niemals,Niemals,,,,-1,
R_1goQO6tHRc95MZK,Default Response Set,Anonymous,,,178.200.121.0,0,2019-05-04 15:30:28,2019-05-04 15:33:21,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,"Die ""härtere"" Aufnahme war, bei gleichbleibender Lautstärke, lauter.",Ja,Nein,18,männlich,rechtshändig,Deutsch,Nein,Ja,Nein,Nein,Niemals,Niemals,,,,-1,
R_2xE0jIfpA5D0IJI,Default Response Set,Anonymous,,,89.204.153.82,0,2019-05-04 16:21:39,2019-05-04 16:25:49,0,1,1,,,,,,,,,,,,,,,,,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,Es war irgendwie lauter ,Ja,Nein,30,weiblich,rechtshändig,"Englisch, Deutsch ",Nein,Nein,Nein,Nein,Selten,Niemals,,,,-1,
R_elijzUNWGCpwVhf,Default Response Set,Anonymous,,,109.192.195.169,0,2019-05-05 12:01:29,2019-05-05 12:11:02,0,1,1,,,,,,,Erste Aufnahme,Erste Aufnahme,,,,,,,,,,,,,,,,,,,,,,,,,"Die härteren klangen wie ""k"" und die weicheren klingen wie ""sch"". Man sagt zu einem Baby ""sch"", also ist es weicher.",Ja,Nein,29,männlich,rechtshändig,Englisch,Anfänger,Ja,Ja,Ja,Selten,Niemals,,,,-1,
