V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instructions,Male_KheuKhya_weich,Female_KheuKhya_weic,Female_KheuKhya_weic,Male_KheuKhya_weich,Male_KhyaKheu_weich,Female_KhyaKheu_weic,Female_KhyaKheu_weic,Male_KhyaKheu_weich,Male_KhyaKheu_weich,Female_KheuKhya_weic,Female_KhyaKheu_weic,Male_KheuKhya_weich,Male_KheuKhya_weich,Female_KhyaKheu_weic,Female_KheuKhya_weic,Male_KhyaKheu_weich,Female_KheuKhya_hart,Male_KhyaKheu_hart,Male_KheuKhya_hart,Female_KhyaKheu_hart,Female_KhyaKheu_hart,Male_KheuKhya_hart,Male_KhyaKheu_hart,Female_KheuKhya_hart,Female_KhyaKheu_hart,Male_KhyaKheu_hart,Male_KhyaKheu_hart,Female_KhyaKheu_hart,Female_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Male_KheuKhya_hart,Qualitative question,AudioQuestion,AudioMultiple,Age,Gender,Handedness,Native,KoreanLanguage,KoreanRestaurant,SojuQuestion,KoreanFriends,KoreanDrama,KoreanVisit,Description,LocationLatitude,LocationLongitude,LocationAccuracy,
R_ZeLJBvtVXVxdCkF,Default Response Set,Anonymous,,,92.238.124.45,0,2019-04-30 16:37:57,2019-04-30 16:38:13,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3kpiI9rBqgbLJZ5,Default Response Set,Anonymous,,,213.205.198.130,0,2019-04-30 04:24:59,2019-04-30 04:25:03,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3sBR9kXI0IzRg37,Default Response Set,Anonymous,,,31.205.252.45,0,2019-04-30 13:58:51,2019-04-30 14:00:03,0,1,1,,,,,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3rUT13FQS1ay6c1,Default Response Set,Anonymous,,,85.48.186.171,0,2019-04-30 12:09:07,2019-04-30 12:09:20,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_QfweTWIa8oMZHYl,Default Response Set,Anonymous,,,147.188.249.37,0,2019-04-30 08:26:49,2019-04-30 08:27:02,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2DLUCvj3PT6wEl7,Default Response Set,Anonymous,,,77.97.244.246,0,2019-04-29 16:22:08,2019-04-29 16:22:19,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_yWUKHbupPUHItP3,Default Response Set,Anonymous,,,124.217.189.72,0,2019-04-29 19:12:35,2019-04-29 19:13:29,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,,,,,,,,,,,,,,,,,,-1,
R_Uokqs23ckZdIK7D,Default Response Set,Anonymous,,,86.167.239.195,0,2019-04-30 07:13:40,2019-04-30 07:13:48,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1nPD9oJ1TrEmgqV,Default Response Set,Anonymous,,,31.205.252.45,0,2019-04-30 00:53:27,2019-04-30 13:57:54,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2e2lPP65n6vensn,Default Response Set,Anonymous,,,117.136.0.153,0,2019-04-29 17:33:17,2019-04-29 17:33:27,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_11jVsAwGuUcVE2a,Default Response Set,Anonymous,,,77.98.129.230,0,2019-04-29 16:10:49,2019-04-29 16:15:30,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3fGLKtaaFE3aDez,Default Response Set,Anonymous,,,223.87.243.42,0,2019-04-29 17:09:42,2019-04-29 17:10:18,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_31c8o6wD2QOhViR,Default Response Set,Anonymous,,,146.90.157.207,0,2019-04-29 12:11:38,2019-04-29 12:11:43,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2ePwLOE5sxwJhv1,Default Response Set,Anonymous,,,146.90.157.207,0,2019-04-29 12:11:23,2019-04-29 12:11:27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3JkFibOeRQ1FT28,Default Response Set,Anonymous,,,183.228.98.86,0,2019-04-29 08:36:52,2019-04-29 08:37:21,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2rDuEJjs9whsPIS,Default Response Set,Anonymous,,,27.9.162.11,0,2019-04-29 07:52:35,2019-04-29 07:54:10,0,1,1,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1jjkObEYCSpFxzR,Default Response Set,Anonymous,,,146.90.157.207,8,2019-04-29 12:01:04,2019-04-29 12:01:18,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3P4W9t6jZnM17F6,Default Response Set,Anonymous,,,147.188.254.220,0,2019-04-29 09:37:03,2019-04-29 09:37:17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_33pvTVKwK03qsZR,Default Response Set,Anonymous,,,31.205.145.4,0,2019-04-29 07:31:38,2019-04-29 07:31:59,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1fmfNNDOvp5WJPC,Default Response Set,Anonymous,,,82.38.246.6,0,2019-04-29 06:27:24,2019-04-29 06:27:38,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0vlQ1vkWsBGAGbL,Default Response Set,Anonymous,,,92.239.143.159,0,2019-04-29 06:26:29,2019-04-29 06:26:36,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3lRAstoAcs2mZ3p,Default Response Set,Anonymous,,,112.48.22.56,0,2019-04-29 04:37:04,2019-04-29 04:38:13,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,-1,
R_1GCi463GEC0O53E,Default Response Set,Anonymous,,,213.205.241.130,0,2019-04-29 09:28:54,2019-04-29 09:29:02,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1Q6hrqEq7eHDWlw,Default Response Set,Anonymous,,,31.205.145.4,0,2019-04-29 07:35:20,2019-04-29 07:37:49,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第一个:,发音方式和声调,是,否,25,女,右撇子,中文,无,是,否,否,偶尔,从未去过,,,,-1,
R_Au1qLYdG24WG7kt,Default Response Set,Anonymous,,,147.188.30.163,0,2019-04-29 06:03:45,2019-04-29 06:04:01,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3kGucXdLPf4jjbA,Default Response Set,Anonymous,,,117.136.80.121,0,2019-04-29 02:22:59,2019-04-29 02:25:41,0,1,1,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_2UgsBerpS2HBGVP,Default Response Set,Anonymous,,,140.243.165.250,0,2019-04-29 02:13:12,2019-04-29 02:14:12,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1QGi3LoRBu3VIf5,Default Response Set,Anonymous,,,117.114.3.183,0,2019-04-29 02:09:12,2019-04-29 02:10:00,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_e2mycaIcReumHND,Default Response Set,Anonymous,,,176.158.248.185,0,2019-04-29 02:33:12,2019-04-29 02:33:48,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_ykX4GncOjttljbz,Default Response Set,Anonymous,,,119.103.129.180,0,2019-04-29 01:53:45,2019-04-29 01:53:55,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_20qi8P9bSdfmHS1,Default Response Set,Anonymous,,,117.139.178.177,0,2019-04-29 01:43:05,2019-04-29 01:43:11,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1luEY0BzmsEjSO8,Default Response Set,Anonymous,,,220.160.165.120,0,2019-04-29 03:13:58,2019-04-29 03:14:04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_1floUviyYOmWmlP,Default Response Set,Anonymous,,,151.21.195.218,0,2019-04-26 07:40:18,2019-04-26 07:40:41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_eSc7wDHIPlzZ8o9,Default Response Set,Anonymous,,,192.76.8.90,0,2019-04-29 01:59:05,2019-04-29 01:59:18,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_bkg0dmleRwzlhdL,Default Response Set,Anonymous,,,213.124.172.162,0,2019-04-26 17:08:49,2019-04-26 17:08:53,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_vdAwPChjQToTdAd,Default Response Set,Anonymous,,,213.124.172.162,8,2019-04-26 17:07:23,2019-04-26 17:08:19,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_10GJqquuD6BRP6p,Default Response Set,Anonymous,,,31.205.37.59,0,2019-05-01 06:15:42,2019-05-01 06:17:41,1,1,1,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,,,音色,是,是,23,女,右撇子,中文,初级,是,否,是,经常,从未去过,1,54.973999023438,-1.6446990966797,-1,
R_3dXRV6vHQDvMeZk,Default Response Set,Anonymous,,,5.151.170.80,0,2019-05-01 12:15:51,2019-05-01 12:36:37,1,1,1,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,,,,,,,我认为影响判断的重要因素最重要的是在我头脑中形成的“声音形象”：这是一个怎样的发音人？怎样的语言背景？他/她发出这个声音是怎样的社会意义？ /  / 我是带着耳机完成判断的。我想到了我觉得被突然恐吓的声音形象，让我立刻回忆起一次走在英格兰大街上被三个骑自行车迎面而来的白人青年男性无理由的、莫名其妙地突然恐吓—只因为我长着一张亚洲脸。我站在原地望了他们的背影很久。这样的行为在我的文化中是不可接受的：中国人之间不会这样发出这样的声音互相恐吓或对待远道而来的外国公民。我认为这样的声音暴力、野蛮、无教养，为他们的女王和他们所谓的信仰丢脸。,是,是,30,其他,左右手都用,汉语,初级,是,否,是,经常,短期访问（一次或多次）,1,54.973297119141,-1.6139984130859,-1,
R_2sQD1qtXC55PKK5,Default Response Set,Anonymous,,,5.151.170.80,0,2019-05-01 13:03:27,2019-05-01 13:06:45,1,1,1,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,,,"I think it is the vowels following the plosives that influence the ""softness"" of the perception. forward vowels sounds softened compared with middle / back vowels.",是,否,29,男,右撇子,Chinese,无,否,否,否,偶尔,从未去过,1,54.973297119141,-1.6139984130859,-1,
R_qV3eZPy8SEetEpX,Default Response Set,Anonymous,,,128.240.225.92,0,2019-05-01 13:06:13,2019-05-01 13:08:46,1,1,1,,,,,,,,,,,,,,,,,第一个:,第一个:,,,,,,,,,,,,,,,1) 声调 / 2)语气 / 3）音量,是,是,23,女,左撇子,普通话,无,是,否,否,很少,从未去过,1,54.983306884766,-1.5832977294922,-1,
R_3F4gWs8XW7gymU1,Default Response Set,Anonymous,,,212.76.254.50,0,2019-05-01 13:08:56,2019-05-01 13:16:29,1,1,1,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,感觉是qia和ke两个音让我来辨别哪个更柔和，读音听起来跟现实中不太一样，更像小孩子读的。我在猜这个问卷到底在考察我什么。其实有点不懂。 /  / 哪些因素影响我的判断：1.听起来马上让我想起韩语发音，感觉这两个发音在韩语中比较常见。语言接触影响我的判断。2.听单个发音，和听一个短语一句话有区别，如果在一句话中来听可能会影响我的选择。,是,是,29,女,右撇子,中文,初级,是,否,是,经常,从未去过,1,50.845092773438,4.3556976318359,-1,
R_1MYFeLqOYRruETo,Default Response Set,Anonymous,,,31.205.145.4,0,2019-05-01 15:17:16,2019-05-01 15:20:51,1,1,1,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,听到的先后顺序 / 当听到第一个后，耳朵已经适应了这种刺激的环境，所以第二个听起来可能相对柔和些,是,是,23,女,右撇子,汉语,无,是,是,否,经常,从未去过,1,52.466598510742,-1.9205017089844,-1,
R_1jCaGshgiMQPMs7,Default Response Set,Anonymous,,,134.76.63.201,0,2019-05-01 14:26:30,2019-05-01 14:26:37,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3QXm3gBLF9xhXEZ,Default Response Set,Anonymous,,,128.240.225.67,0,2019-05-01 05:39:33,2019-05-01 05:43:56,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_10oQ7w8PD35uhZq,Default Response Set,Anonymous,,,109.246.12.206,0,2019-05-02 08:41:16,2019-05-02 16:13:34,1,1,1,,,,,,,,,,,,,,,,,,,,,第二个:,第二个:,,,,,,,,,,,the first one sounds like keeeee. / the second one sounds like kaaaa. / I think kaaaa is more strong if I had to choose.,是,否,27,女,右撇子,Mandarin， Chinese,无,是,是,否,从不,从未去过,1,51.535995483398,-0.092498779296875,-1,
R_27IhPqBPoNCwrty,Default Response Set,Anonymous,,,131.227.47.164,0,2019-05-02 16:20:38,2019-05-02 16:25:09,1,1,1,,,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,先後次序會有影響。 / 以及沒有第三選項。,是,否,36,男,右撇子,中文,无,是,是,否,很少,从未去过,1,51.233596801758,-0.59959411621094,-1,
R_3RlN0PKKgh4YQM7,Default Response Set,Anonymous,,,109.175.186.193,0,2019-05-02 17:06:11,2019-05-02 17:08:50,1,1,1,,,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,,,,,音频的长短以及不清楚是在何语境中,是,否,25,女,右撇子,中文,无,是,不确定,否,偶尔,从未去过,1,52.406600952148,-1.51220703125,-1,
R_1ImH9fPWOTRJRhA,Default Response Set,Anonymous,,,111.50.59.232,0,2019-05-02 17:12:06,2019-05-02 17:13:49,1,1,1,第二个:,第二个:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,刚睡醒,是,否,25,女,右撇子,汉语,无,是,否,否,很少,从未去过,1,38.46809387207,106.27310180664,-1,
R_2wdxC7vtHax9ucQ,Default Response Set,Anonymous,,,120.43.210.180,0,2019-05-02 18:04:57,2019-05-02 18:08:41,1,1,1,,,,,,,,,,,,,,,,,,,,,,,第二个:,第一个:,,,,,,,,,语气的轻重,是,是,27,男,右撇子,汉语,无,不确定,否,否,很少,从未去过,1,24.91389465332,118.58578491211,-1,
R_2uvqgEn1Rn6LyZ4,Default Response Set,Anonymous,,,202.100.122.102,0,2019-05-02 19:21:46,2019-05-02 19:24:01,1,1,1,,,,,,,第二个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,强弱,是,是,27,女,右撇子,中文,无,否,否,否,偶尔,从未去过,1,38.46809387207,106.27310180664,-1,
R_1ONO1FNiKoDO8uJ,Default Response Set,Anonymous,,,183.199.23.1,0,2019-05-02 19:31:49,2019-05-02 19:37:11,1,1,1,,,,,第一个:,第一个:,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个音频助词听起来并不会有尖锐的感觉，而第二更强烈些,是,否,28,女,左右手都用,汉语,无,是,是,否,不确定,从未去过,1,38.851104736328,115.49029541016,-1,
R_1oBeKBAGLeUgcn5,Default Response Set,Anonymous,,,111.49.204.150,0,2019-05-02 19:47:04,2019-05-02 19:50:00,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,,,,,找不到音频点开地方着急影响了我的判断,是,是,26,女,右撇子,中文,无,是,是,否,经常,从未去过,1,37.511306762695,105.1907043457,-1,
R_30tPajQa8wRmZhl,Default Response Set,Anonymous,,,106.45.145.247,0,2019-05-02 19:30:30,2019-05-02 20:02:42,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一个:,第二个:,手机话筒声音,是,否,28,女,右撇子,汉语,无,是,是,是,经常,短期访问（一次或多次）,1,38.46809387207,106.27310180664,-1,
