ID,Gender,Age,Native,KoreanVisit,KoreanDrama,KoreanLanguage,SojuQuestion,KoreanRestaurant,KoreanFriends,Question,Qualitative,Condition,StimGender,RespType
R_25yojIV3auYnNst,femenino,44,Español ,Nunca,Nunca,Ninguno,No,Sí,No,weich,"El volumen (menos volumen más blando) y la duración (más largo, más blando) ",KhyaKheu,Female,Khya
R_271XEFKd8rPrerh,masculino,26,Español de México,Nunca,Nunca,Ninguno,No,No,Quizás,weich,"No, creo que porque el ruido es menos abrupto, no estoy seguro.",KhyaKheu,Female,Kheu
R_271XEFKd8rPrerh,masculino,26,Español de México,Nunca,Nunca,Ninguno,No,No,Quizás,weich,"No, creo que porque el ruido es menos abrupto, no estoy seguro.",KheuKhya,Male,Khya
R_28ZIaXgyXOEtkfN,,,,,,,,,,weich,,KhyaKheu,Male,Kheu
R_28ZIaXgyXOEtkfN,,,,,,,,,,weich,,KhyaKheu,Male,Kheu
R_29aYgDzIVRwNYEo,femenino,25,Castellano,Nunca,Nunca,Ninguno,No,Sí,No,weich,La intensidad del sonido.,KhyaKheu,Male,Kheu
R_29aYgDzIVRwNYEo,femenino,25,Castellano,Nunca,Nunca,Ninguno,No,Sí,No,weich,La intensidad del sonido.,KheuKhya,Female,Khya
R_29c9J0fdRtgZeDD,,,,,,,,,,weich,,KhyaKheu,Male,Khya
R_29c9J0fdRtgZeDD,,,,,,,,,,weich,,KhyaKheu,Male,Khya
R_2anOyetxT6TxM6U,masculino,37,Español,Nunca,Nunca,Ninguno,No,Quizás,No,hart,"Me parece que ha sido el mismo segundo sonido en los dos casos, la /k/",KhyaKheu,Male,Kheu
R_2anOyetxT6TxM6U,masculino,37,Español,Nunca,Nunca,Ninguno,No,Quizás,No,hart,"Me parece que ha sido el mismo segundo sonido en los dos casos, la /k/",KhyaKheu,Female,Kheu
R_2BlZOWDyENqSAbV,masculino,32,español,Nunca,Nunca,Ninguno,No,Sí,Sí,hart,para mí tiene que ver con lo que puede ser la presión o el nivel de exhalación. La opción que elegí parece que proviene de un sonido con mucha más presión y por lo tanto más duro,KhyaKheu,Female,Kheu
R_2BlZOWDyENqSAbV,masculino,32,español,Nunca,Nunca,Ninguno,No,Sí,Sí,hart,para mí tiene que ver con lo que puede ser la presión o el nivel de exhalación. La opción que elegí parece que proviene de un sonido con mucha más presión y por lo tanto más duro,KhyaKheu,Male,Kheu
R_2CTWtJteezOF4Pa,femenino,31,Español,Nunca,Nunca,Ninguno,No,Sí,No,hart,No sé.,KhyaKheu,Female,Khya
R_2CTWtJteezOF4Pa,femenino,31,Español,Nunca,Nunca,Ninguno,No,Sí,No,hart,No sé.,KheuKhya,Male,Kheu
R_2fed055ZlCj82K6,,,,,,,,,,weich,,KheuKhya,Male,Khya
R_2fed055ZlCj82K6,,,,,,,,,,weich,,KheuKhya,Female,Khya
R_2fiJTUJnrN9NVnp,femenino,69 ,El español,Nunca,Nunca,Ninguno,No,No,No,weich,No sé lo que puede haber influido.El timbre de cada uno me sirvió para seleccionarlo. He detectado una emisión más explosiva o menos explosiva.,KheuKhya,Female,Kheu
R_2fiJTUJnrN9NVnp,femenino,69 ,El español,Nunca,Nunca,Ninguno,No,No,No,weich,No sé lo que puede haber influido.El timbre de cada uno me sirvió para seleccionarlo. He detectado una emisión más explosiva o menos explosiva.,KheuKhya,Male,Kheu
R_2fjTh434QjHtAoo,masculino,32,español,Nunca,Nunca,Ninguno,No,Quizás,No,weich,los sonidos se escuchaban claramente y es por eso que los logre concretar con facilidad,KhyaKheu,Female,Kheu
R_2fjTh434QjHtAoo,masculino,32,español,Nunca,Nunca,Ninguno,No,Quizás,No,weich,los sonidos se escuchaban claramente y es por eso que los logre concretar con facilidad,KhyaKheu,Male,Khya
R_2PAaIBqTRtlj6MD,masculino,47,Español,Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Parecen sonidos de un golpe, seleccioné el que me pareció más duro. / Creo que es la misma grabación de una persona pero desplazada en frecuencia. A frecuencias más altas me pareció más agresivo, más 'duro'.",KhyaKheu,Male,Kheu
R_2PAaIBqTRtlj6MD,masculino,47,Español,Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Parecen sonidos de un golpe, seleccioné el que me pareció más duro. / Creo que es la misma grabación de una persona pero desplazada en frecuencia. A frecuencias más altas me pareció más agresivo, más 'duro'.",KheuKhya,Female,Khya
R_2PBjBqEbwvHe49S,masculino,34,"Español, Inglés, Francés.",Nunca,Muy pocas veces,Ninguno,Sí,Sí,Sí,weich,"Tal vez los segundos suenan más dispersos, más espaciados, con menor intensidad.",KheuKhya,Female,Khya
R_2PBjBqEbwvHe49S,masculino,34,"Español, Inglés, Francés.",Nunca,Muy pocas veces,Ninguno,Sí,Sí,Sí,weich,"Tal vez los segundos suenan más dispersos, más espaciados, con menor intensidad.",KheuKhya,Male,Khya
R_2QM9QgnsYI1g8xd,masculino,37,Español,Nunca,Nunca,Ninguno,Quizás,No,No,hart,Duro=más desagradable.,KhyaKheu,Male,Kheu
R_2QM9QgnsYI1g8xd,masculino,37,Español,Nunca,Nunca,Ninguno,Quizás,No,No,hart,Duro=más desagradable.,KheuKhya,Female,Kheu
R_2QPVdVFt42jX8jH,masculino,33,español,Nunca,Regularmente,Ninguno,No,No,No,hart,La tonalidad mas grave,KhyaKheu,Female,Kheu
R_2QPVdVFt42jX8jH,masculino,33,español,Nunca,Regularmente,Ninguno,No,No,No,hart,La tonalidad mas grave,KhyaKheu,Male,Khya
R_2QVOTm9riHZC4s2,femenino,31,Español,Visitas cortas,Nunca,Ninguno,No,No,Sí,weich,Los sonidos duros suenan mas agresivos porque parece que lo hacen mas rapido y usan consonantes fuertes,KhyaKheu,Female,Khya
R_2QVOTm9riHZC4s2,femenino,31,Español,Visitas cortas,Nunca,Ninguno,No,No,Sí,weich,Los sonidos duros suenan mas agresivos porque parece que lo hacen mas rapido y usan consonantes fuertes,KhyaKheu,Male,Khya
R_2QyotBQON0f0Nyb,masculino,23,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,hart,"El sonido que se ""disipa"". Y el orden de escucha, te acostumbras a que empiece fuerte y el segundo no choca tanto",KheuKhya,Male,Kheu
R_2QyotBQON0f0Nyb,masculino,23,Español,Nunca,Muy pocas veces,Ninguno,No,Quizás,No,hart,"El sonido que se ""disipa"". Y el orden de escucha, te acostumbras a que empiece fuerte y el segundo no choca tanto",KhyaKheu,Female,Khya
R_2R2L8iN9pniVXWI,femenino,33,Español,Nunca,Nunca,Ninguno,No,No,No,hart,Nada en particular ,KhyaKheu,Female,Kheu
R_2R2L8iN9pniVXWI,femenino,33,Español,Nunca,Nunca,Ninguno,No,No,No,hart,Nada en particular ,KheuKhya,Male,Kheu
R_2rGYBWOkkjzCo5d,masculino,20,"Castellano, catalán",Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Realmente, puedo interpretar ""duro"" como diferentes cosas. He seleccionado los sonidos más... como con más cantidad de sonido... o algo así, pero en algún otro sentido los más duros eran los otros.",KheuKhya,Female,Khya
R_2rGYBWOkkjzCo5d,masculino,20,"Castellano, catalán",Nunca,Muy pocas veces,Ninguno,No,No,No,hart,"Realmente, puedo interpretar ""duro"" como diferentes cosas. He seleccionado los sonidos más... como con más cantidad de sonido... o algo así, pero en algún otro sentido los más duros eran los otros.",KheuKhya,Male,Khya
R_2rhVvwS1buJztA0,masculino,44,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"Creo que el primero siempre es un ruido mas mecanico, mientras el segundo suena mas a humano. No obstante me he guiado por la dureza del sonido obviando ese aspecto.",KheuKhya,Male,Khya
R_2rhVvwS1buJztA0,masculino,44,Español,Nunca,Nunca,Ninguno,No,No,No,hart,"Creo que el primero siempre es un ruido mas mecanico, mientras el segundo suena mas a humano. No obstante me he guiado por la dureza del sonido obviando ese aspecto.",KheuKhya,Male,Kheu
R_2RPpPvDp5dOwJnw,masculino,25,Español,Nunca,Nunca,Ninguno,No,No,No,hart,El sonido parece más fuerte,KhyaKheu,Male,Kheu
R_2RPpPvDp5dOwJnw,masculino,25,Español,Nunca,Nunca,Ninguno,No,No,No,hart,El sonido parece más fuerte,KhyaKheu,Female,Kheu
R_2S6yY5OhZPTzkIM,,,,,,,,,,weich,,KhyaKheu,Male,Kheu
R_2S6yY5OhZPTzkIM,,,,,,,,,,weich,,KhyaKheu,Female,Khya
R_2Seq6UG9nDdWsHy,femenino,26,Español,Nunca,Muy pocas veces,Ninguno,Sí,No,No,hart,"El sonido /k/ se sentia mas oscuro, pesado en compracion al otro. ",KhyaKheu,Female,Kheu
R_2Seq6UG9nDdWsHy,femenino,26,Español,Nunca,Muy pocas veces,Ninguno,Sí,No,No,hart,"El sonido /k/ se sentia mas oscuro, pesado en compracion al otro. ",KheuKhya,Male,Kheu
R_2SuTJq3bAuyJ3bd,femenino,36,Español,Nunca,Regularmente,Ninguno,Sí,Sí,Sí,weich,La explosión al principio del audio me hace sentirlo más agresivo que al final del mismo.,KheuKhya,Female,Khya
R_2SuTJq3bAuyJ3bd,femenino,36,Español,Nunca,Regularmente,Ninguno,Sí,Sí,Sí,weich,La explosión al principio del audio me hace sentirlo más agresivo que al final del mismo.,KhyaKheu,Male,Kheu
R_2uU32AyHVnlxADG,femenino,21,Español,Estancias inferiores a 5 años,Muy pocas veces,Ninguno,Sí,Sí,Sí,hart,"Creo que el orden en que se presentaron influyo mucho, por que al no saber que esperar me tomo de sopresa el primer sonido y eso lo asocie con dureza",KheuKhya,Male,Kheu
